Student_ID,Attendance,Study_Hours,Previous_Score,Assignment_Score,Sleep_Hours,Participation,Final_Score
1137,50,7.7,55,65,6.3,10,73.85
1138,84,3.4,72,78,4.5,8,74.98
1139,86,2.6,43,60,8.1,8,59.94
1140,96,4.0,43,92,4.2,1,62.51
1141,63,3.0,78,88,7.6,7,71.94
1142,52,5.3,79,81,7.9,2,71.59
1143,50,7.4,56,82,5.8,1,63.31
1144,54,2.0,76,93,8.1,3,58.4
1145,75,1.7,78,80,6.6,4,65.65
1146,63,2.8,91,48,6.3,6,52.16
1147,88,6.1,68,63,4.2,10,79.33
1148,76,5.2,91,76,5.5,5,70.65
1149,58,1.7,75,88,8.7,4,59.83
1150,64,7.4,77,80,6.0,8,82.46
1151,64,6.5,78,56,6.7,4,65.39
1152,75,1.2,89,63,6.7,10,69.81
1153,91,5.6,76,60,7.0,2,74.78
1154,62,6.4,91,90,4.3,3,75.09
1155,100,3.6,74,98,5.8,6,77.88
1156,81,1.5,46,78,7.6,8,58.68
1157,88,1.5,66,94,5.0,8,68.01
1158,98,1.7,67,80,5.0,9,62.8
1159,81,6.9,61,78,4.1,7,72.11
1160,53,7.4,53,52,6.2,2,51.75
1161,79,1.9,46,50,8.4,8,50.22
1162,86,2.7,76,85,4.3,7,59.32
1163,72,2.2,61,58,5.0,8,58.85
1164,88,2.3,44,50,5.6,3,58.92
1165,94,6.9,94,52,7.7,7,78.95
1166,64,3.3,41,85,7.2,10,67.13
1167,92,3.2,66,84,6.1,9,77.72
1168,78,2.6,60,40,7.8,3,46.44
1169,85,5.3,93,79,7.0,10,78.27
1170,62,3.7,77,83,8.5,6,73.18
1171,81,6.2,54,58,8.1,2,62.84
1172,56,2.4,60,51,5.3,2,40.89
1173,100,6.5,49,47,5.4,5,62.72
1174,71,5.2,62,47,4.6,5,61.75
1175,77,1.8,95,100,5.7,7,69.85
1176,51,3.9,78,92,9.0,2,50.98
1177,91,7.0,44,84,6.0,7,72.22
1178,94,7.5,40,51,5.1,5,64.38
1179,55,4.3,52,100,7.8,6,65.13
1180,77,4.4,60,87,6.7,8,76.82
1181,77,7.4,65,72,4.7,10,77.43
1182,93,5.1,89,84,5.9,4,78.89
1183,93,1.2,84,65,6.1,7,71.27
1184,69,7.4,60,78,7.8,6,73.29
1185,79,2.7,92,67,4.1,10,81.91
1186,60,5.0,57,97,5.3,2,56.78
1187,77,2.2,76,44,6.6,8,55.7
1188,74,1.2,84,47,5.3,10,64.21
1189,88,3.2,71,64,7.1,9,75.37
1190,82,6.5,75,66,6.4,5,72.15
1191,50,2.9,56,85,5.8,10,56.42
1192,76,2.5,74,62,8.7,4,69.99
1193,62,2.5,88,69,7.2,6,60.49
1194,90,4.6,50,84,4.6,8,71.05
1195,52,7.8,60,86,6.8,3,75.45
1196,88,4.2,91,62,7.9,10,75.43
1197,55,4.9,94,88,7.5,1,66.41
1198,57,7.0,92,86,4.9,4,73.05
1199,76,4.7,65,59,8.9,4,68.45
1200,58,2.3,43,57,6.2,1,49.25
1201,86,3.1,73,57,4.8,9,66.44
1202,82,3.2,91,41,4.9,3,70.49
1203,100,3.8,87,43,4.5,5,67.51
1204,91,4.0,57,69,8.0,6,73.16
1205,93,6.6,79,72,4.6,8,77.65
1206,73,3.4,74,75,4.6,6,76.82
1207,64,4.3,80,57,8.3,3,70.41
1208,81,5.4,68,76,5.7,6,70.43
1209,81,3.6,91,58,4.2,1,70.06
1210,73,6.9,68,86,4.3,4,79.36
1211,90,5.1,77,67,4.7,6,79.78
1212,98,3.1,81,79,5.1,7,60.82
1213,98,6.0,60,59,7.3,10,79.05
1214,61,4.7,81,88,4.8,3,70.18
1215,88,4.7,52,72,4.6,9,70.66
1216,51,4.4,88,51,7.8,7,65.83
1217,52,4.5,80,97,7.4,1,67.4
1218,98,6.4,56,90,6.2,2,79.46
1219,86,1.7,95,54,6.7,1,63.42
1220,98,3.3,48,80,5.6,9,69.05
1221,66,1.5,80,78,6.4,9,70.8
1222,98,6.3,40,41,6.5,7,66.25
1223,51,2.9,41,68,5.9,10,57.15
1224,51,7.3,87,80,8.5,3,83.26
1225,77,4.7,68,49,4.1,5,59.06
1226,72,6.6,72,41,7.9,4,57.91
1227,86,7.9,49,90,4.6,7,77.12
1228,81,6.9,89,50,8.0,9,80.22
1229,82,7.1,79,52,7.1,2,73.85
1230,50,3.9,60,49,8.2,8,57.64
1231,68,4.9,67,53,4.5,9,68.48
1232,51,2.8,50,57,6.8,10,67.4
1233,93,2.4,94,90,6.5,10,83.72
1234,75,4.5,73,93,7.5,9,81.15
1235,81,5.2,47,48,6.7,10,63.62
1236,55,3.4,61,96,6.7,7,57.75
1237,81,5.0,47,78,6.1,9,56.95
1238,53,7.2,88,67,5.5,9,73.46
1239,60,4.9,54,42,6.4,3,39.8
1240,66,6.0,56,59,4.6,4,63.12
1241,87,6.6,62,45,8.8,2,63.37
1242,73,7.9,63,66,7.6,10,70.96
1243,54,5.2,84,92,8.8,3,71.74
1244,83,6.6,58,41,5.1,5,59.94
1245,55,7.7,44,68,8.4,5,66.77
1246,71,7.6,71,77,8.0,6,80.33
1247,60,2.0,83,42,7.4,7,53.75
1248,97,3.8,40,55,7.1,7,59.66
1249,65,3.3,62,69,5.6,1,55.74
1250,82,1.6,76,79,8.1,2,54.66
1251,58,5.4,47,41,6.5,9,58.74
1252,55,6.2,52,56,4.4,10,55.99
1253,65,6.9,47,80,5.6,2,65.94
1254,78,1.9,62,51,8.7,6,54.71
1255,52,7.1,82,74,8.3,1,61.88
1256,69,5.5,40,82,8.9,3,58.99
1257,85,5.9,84,40,7.1,2,64.01
1258,68,7.4,90,94,5.2,3,84.63
1259,75,5.4,63,84,4.8,5,69.58
1260,52,3.4,74,54,4.9,10,56.14
1261,68,6.8,63,65,4.1,6,75.87
1262,69,3.5,56,76,6.0,9,67.22
1263,81,1.2,44,60,5.0,10,53.3
1264,56,6.8,59,88,6.1,4,60.17
1265,90,3.4,60,70,8.7,7,65.21
1266,82,6.4,79,64,6.2,6,73.29
1267,89,3.5,70,62,8.4,2,64.96
1268,88,7.0,85,63,7.0,10,85.88
1269,67,2.5,75,96,5.2,8,72.52
1270,89,7.8,50,77,5.8,7,67.36
1271,50,6.5,91,67,4.4,7,72.89
1272,60,1.8,54,60,5.7,8,52.37
1273,77,5.0,58,93,7.4,1,79.5
1274,74,7.9,46,82,4.4,1,66.22
1275,99,4.3,90,57,5.0,8,72.11
1276,72,2.3,67,75,5.9,4,59.73
1277,80,4.4,90,74,8.9,5,74.2
1278,79,4.6,82,84,7.9,8,67.04
1279,91,6.2,44,94,7.7,5,74.82
1280,84,5.9,44,48,4.6,10,63.15
1281,56,3.8,69,92,7.9,4,64.61
1282,65,2.5,93,77,7.9,6,63.92
1283,75,5.5,71,97,7.0,5,69.32
1284,97,4.0,47,69,9.0,7,71.34
1285,98,1.9,49,99,5.6,10,75.05
1286,51,7.3,77,83,8.7,7,78.22
1287,50,5.8,86,73,8.6,4,60.32
1288,97,5.8,71,71,4.1,5,75.54
1289,61,6.8,87,42,6.3,3,56.87
1290,54,4.7,67,42,8.9,4,53.34
1291,86,6.7,56,67,4.5,4,72.18
1292,81,4.5,70,83,6.7,3,71.56
1293,58,1.5,47,54,8.9,10,55.13
1294,90,3.8,79,80,6.8,5,78.59
1295,84,4.5,64,62,4.9,5,66.97
1296,68,6.0,48,79,6.9,7,57.14
1297,97,1.7,41,50,5.0,4,48.83
1298,65,2.0,54,87,6.6,4,56.36
1299,52,2.8,89,71,4.4,9,64.5
1300,69,2.9,42,97,7.0,6,57.75
1301,73,6.1,88,98,6.6,4,73.97
1302,82,2.8,75,96,7.7,2,79.63
1303,73,5.4,43,93,7.2,6,65.51
1304,60,4.5,53,75,6.7,2,68.98
1305,98,5.0,80,99,7.4,5,75.3
1306,57,6.9,80,72,4.7,6,74.95
1307,85,3.8,64,63,7.0,4,64.14
1308,87,6.4,94,78,4.9,3,73.61
1309,89,4.0,89,73,8.6,7,74.09
1310,69,3.5,49,95,4.3,2,58.11
1311,84,7.7,60,67,6.2,6,69.67
1312,97,2.3,75,76,7.5,4,65.99
1313,74,1.6,51,46,6.3,6,38.43
1314,84,6.4,66,43,4.5,4,67.96
1315,74,1.5,79,76,6.8,4,67.41
1316,78,6.9,41,95,7.2,4,72.37
1317,67,4.1,93,40,7.5,9,79.39
1318,95,7.4,52,40,5.9,7,72.19
1319,67,6.1,92,86,6.8,3,81.34
1320,51,5.3,71,59,6.3,3,65.69
1321,84,7.6,70,58,7.4,6,61.26
1322,65,3.8,55,68,6.9,6,61.8
1323,90,7.7,71,49,6.6,4,65.55
1324,85,1.9,71,99,5.2,9,65.28
1325,82,4.4,73,57,4.0,4,58.24
1326,53,2.9,50,67,4.9,9,53.91
1327,82,4.8,49,74,4.6,4,65.26
1328,63,2.1,54,82,6.2,2,55.36
1329,70,6.9,56,86,7.1,2,68.33
1330,97,6.9,79,70,5.1,5,81.85
1331,69,7.7,57,66,8.7,4,73.25
1332,57,2.1,94,50,4.0,7,61.59
1333,56,5.4,48,88,7.9,5,55.07
1334,52,4.3,64,88,7.1,6,61.0
1335,66,3.4,79,77,5.9,10,70.26
1336,82,3.5,53,44,4.3,4,57.26
1337,97,3.9,64,47,7.1,2,53.85
1338,61,5.9,89,73,5.9,10,77.02
1339,100,5.2,61,87,8.7,9,71.66
1340,71,4.2,91,91,6.7,10,84.5
1341,71,1.5,69,95,8.7,7,67.25
1342,95,1.5,59,51,5.1,4,47.8
1343,79,1.0,60,77,7.6,3,49.16
1344,87,7.8,83,40,7.1,10,81.53
1345,87,1.0,71,70,7.7,3,65.8
1346,94,1.7,90,43,5.1,9,60.5
1347,100,3.2,85,88,7.3,5,79.84
1348,57,6.7,88,84,6.5,3,70.85
1349,76,7.7,95,89,7.7,5,89.39
1350,76,6.5,60,44,5.6,2,63.78
1351,83,5.8,74,69,8.5,4,72.9
1352,70,4.6,71,95,4.4,10,65.52
1353,79,1.6,69,63,8.0,2,59.5
1354,82,7.7,94,98,8.3,2,87.87
1355,77,6.3,78,42,8.1,8,73.6
1356,96,5.5,88,50,6.6,1,70.6
1357,82,6.3,51,84,6.2,7,67.75
1358,54,6.1,80,43,9.0,5,70.06
1359,97,5.5,86,65,5.1,8,82.97
1360,68,7.9,57,66,6.7,1,60.15
1361,53,7.3,60,85,7.4,7,78.53
1362,84,5.5,52,93,7.5,5,71.98
1363,98,5.9,60,82,5.0,4,73.17
1364,66,1.4,47,66,7.3,7,51.82
1365,93,5.7,85,81,8.1,10,84.41
1366,77,1.3,79,90,4.3,2,67.64
1367,79,5.1,85,89,8.6,1,78.54
1368,78,8.0,46,45,4.1,1,64.44
1369,95,4.9,62,98,5.8,1,71.5
1370,55,4.3,83,100,4.1,5,74.22
1371,84,3.2,71,54,4.4,10,61.62
1372,90,1.8,50,92,8.6,7,68.09
1373,86,6.1,61,69,5.8,2,65.95
1374,73,2.3,61,81,6.1,10,54.89
1375,78,1.8,82,76,5.1,8,58.7
1376,98,4.0,64,97,7.0,4,69.57
1377,95,6.6,61,100,7.0,3,79.71
1378,80,6.2,67,76,5.9,10,73.42
1379,84,1.4,68,81,5.7,8,61.71
1380,82,4.2,52,99,8.4,2,70.18
1381,70,4.7,57,76,5.9,3,58.7
1382,81,5.5,41,74,6.5,3,68.27
1383,72,5.6,68,62,5.4,10,76.63
1384,82,3.6,60,45,7.9,1,54.9
1385,52,4.9,54,43,6.0,6,57.85
1386,67,4.4,91,57,6.6,2,67.3
1387,74,7.2,66,99,5.3,1,71.82
1388,91,4.7,89,48,8.9,2,73.05
1389,80,4.1,70,88,5.5,6,75.45
1390,52,3.8,54,68,7.9,4,50.63
1391,89,5.0,90,52,6.1,6,73.36
1392,95,6.6,62,98,5.0,9,83.09
1393,73,4.8,63,86,8.0,10,78.24
1394,99,5.6,83,91,5.7,10,83.7
1395,81,6.2,52,56,8.3,8,65.52
1396,96,4.6,61,84,8.6,1,69.37
1397,71,4.0,82,71,8.3,8,77.42
1398,72,7.1,76,87,4.2,9,73.89
1399,51,3.9,72,61,7.9,6,55.41
1400,76,4.2,95,43,6.1,10,68.84
1401,91,7.9,42,44,8.4,5,65.2
1402,51,1.0,93,76,7.2,6,52.32
1403,75,2.3,58,80,8.2,6,69.3
1404,66,3.7,62,88,6.5,9,67.51
1405,89,7.5,68,52,6.7,4,70.27
1406,82,1.5,69,73,4.7,2,64.72
1407,58,1.1,78,84,7.9,9,67.63
1408,92,1.4,83,61,6.1,2,57.56
1409,97,1.6,86,92,6.5,10,77.73
1410,88,1.3,64,98,7.9,9,69.63
1411,78,4.4,76,62,7.0,2,71.13
1412,91,5.1,86,90,5.0,8,80.39
1413,75,2.9,47,42,7.0,9,48.08
1414,84,3.8,81,81,6.0,10,66.7
1415,99,1.6,55,73,6.3,9,72.03
1416,74,3.4,47,71,4.1,10,57.58
1417,73,4.7,40,84,5.1,9,68.33
1418,62,6.1,83,90,5.4,2,71.76
1419,56,1.0,44,97,7.6,4,50.24
1420,85,4.3,42,88,4.1,7,63.83
1421,94,3.1,40,60,6.0,2,61.8
1422,69,7.0,43,85,8.6,1,57.59
1423,50,6.0,79,83,4.6,3,64.97
1424,57,5.1,74,60,6.6,4,66.85
1425,95,2.9,71,83,7.9,8,66.57
1426,65,7.4,81,50,8.7,6,79.17
1427,63,1.3,73,78,7.7,2,60.44
1428,61,1.8,82,43,7.6,9,60.38
1429,100,3.7,64,90,8.1,2,67.23
1430,72,1.9,49,40,6.2,5,40.79
1431,64,7.7,60,67,8.0,4,72.43
1432,77,6.6,85,63,4.0,7,88.72
1433,83,2.8,78,100,8.6,8,76.61
1434,51,5.1,66,74,6.2,5,53.56
1435,81,7.9,66,52,6.8,10,78.92
1436,72,7.2,41,86,5.3,5,72.1
1437,71,5.2,80,73,7.7,2,63.49
1438,100,7.3,87,50,4.4,8,77.22
1439,74,7.9,52,75,8.4,2,65.48
1440,71,6.2,48,90,8.1,10,71.54
1441,71,1.5,91,100,5.1,6,68.67
1442,98,3.8,75,56,8.0,8,67.19
1443,91,6.9,61,74,7.9,6,69.71
1444,55,2.6,81,99,7.2,4,66.42
1445,64,6.8,65,57,5.9,4,63.81
1446,92,1.8,93,79,5.4,6,68.77
1447,86,1.3,51,61,5.2,4,52.7
1448,82,3.7,56,96,5.6,8,62.36
1449,57,1.3,53,63,8.5,9,55.54
1450,93,7.7,53,97,4.4,1,71.87
1451,93,6.8,73,58,8.1,4,75.15
1452,54,6.6,92,76,5.7,4,74.66
1453,88,5.4,59,78,6.6,2,72.77
1454,53,2.5,50,60,8.0,6,52.31
1455,55,4.6,55,47,8.4,3,58.65
1456,94,5.2,90,67,5.7,7,76.26
1457,81,4.7,70,44,6.3,5,61.38
1458,79,2.8,94,56,6.1,4,64.43
1459,96,4.6,45,76,4.1,5,68.3
1460,84,4.4,95,75,5.5,8,80.76
1461,89,8.0,58,93,6.3,3,78.08
1462,65,7.3,76,58,6.1,7,66.1
1463,62,4.2,43,66,7.6,6,60.14
1464,99,5.4,86,92,5.9,1,73.17
1465,91,6.2,43,73,6.4,7,65.03
1466,79,1.2,59,50,6.1,7,48.25
1467,68,7.3,49,93,7.7,1,67.56
1468,66,7.0,63,84,8.3,9,82.92
1469,68,4.2,93,86,6.7,6,69.45
1470,77,3.7,74,51,7.9,2,68.13
1471,75,2.9,65,93,5.5,5,69.7
1472,86,4.3,76,60,6.7,4,59.35
1473,75,1.3,77,93,5.7,7,64.35
1474,72,7.0,60,50,6.1,8,63.09
1475,58,1.2,93,78,7.7,1,62.05
1476,61,3.3,79,67,8.4,5,58.33
1477,50,7.5,78,44,4.6,3,54.5
1478,50,6.1,60,56,7.2,1,54.82
1479,96,3.0,49,95,6.9,3,70.63
1480,83,2.8,77,59,4.6,6,62.24
1481,81,1.0,85,80,5.1,7,67.78
1482,97,5.9,43,85,5.6,8,75.2
1483,74,1.3,84,97,4.8,4,57.56
1484,89,4.7,59,51,5.2,3,55.89
1485,94,7.7,56,45,5.3,5,69.03
1486,50,1.8,94,56,5.7,9,58.58
1487,65,7.3,46,90,7.7,6,79.55
1488,88,7.9,43,58,6.9,9,66.39
1489,54,1.4,68,65,8.9,6,50.7
1490,71,7.2,53,87,6.1,2,69.69
1491,78,4.6,42,83,7.8,5,60.39
1492,52,7.3,63,83,8.4,9,60.21
1493,61,5.0,76,91,7.4,8,83.68
1494,75,5.6,55,71,6.1,7,61.97
1495,65,4.8,94,45,7.8,1,65.64
1496,100,7.1,91,94,5.0,4,79.81
1497,86,6.1,43,97,5.6,7,68.4
1498,71,4.6,95,75,6.7,7,67.06
1499,78,7.1,63,77,6.9,6,70.63
1500,63,2.7,73,50,4.1,8,54.66
1501,77,2.1,69,72,8.7,6,62.47
1502,54,2.1,57,63,7.5,10,55.2
1503,96,3.3,58,62,6.5,3,53.75
1504,98,2.7,70,54,8.7,4,60.86
1505,79,7.5,58,66,6.2,3,75.93
1506,95,1.7,88,50,8.9,1,67.84
1507,54,5.9,85,96,6.6,10,81.95
1508,61,2.3,58,90,4.6,5,61.32
1509,65,7.2,61,89,7.8,1,79.69
1510,75,7.7,63,56,7.4,1,69.17
1511,75,4.3,84,90,7.9,2,74.36
1512,97,7.2,51,92,8.8,4,69.62
1513,70,1.0,69,53,7.9,6,49.18
1514,88,6.7,77,66,7.1,8,78.58
1515,85,2.6,92,57,8.3,3,61.47
1516,82,7.4,70,67,7.4,1,65.92
1517,79,1.0,75,90,6.0,3,56.97
1518,86,4.9,58,86,8.4,3,61.7
1519,72,6.3,87,86,5.1,5,72.98
1520,59,2.8,84,43,7.6,4,58.32
1521,54,2.4,75,46,8.4,4,62.4
1522,85,1.6,69,84,7.7,9,72.31
1523,83,3.3,94,74,7.5,7,77.5
1524,80,4.9,88,87,7.8,4,67.87
1525,59,1.8,94,48,6.3,3,56.5
1526,68,3.6,72,47,8.4,6,60.33
1527,81,1.1,57,91,5.0,3,58.63
1528,50,6.7,91,84,4.6,6,73.05
1529,54,1.9,88,56,5.4,9,69.06
1530,94,3.0,67,56,6.7,6,64.24
1531,53,1.1,86,88,6.6,4,60.87
1532,65,4.0,50,72,8.1,5,49.59
1533,73,6.9,93,71,6.0,6,78.1
1534,65,3.7,84,47,6.4,3,64.95
1535,51,2.3,72,58,4.1,8,58.61
1536,98,6.3,56,77,6.0,4,61.31
1537,77,6.5,45,42,7.2,8,61.05
1538,81,2.2,43,98,4.1,10,72.99
1539,76,6.4,59,44,5.4,10,67.0
1540,69,7.6,87,52,5.0,3,72.34
1541,73,2.2,86,86,4.2,10,79.23
1542,61,6.4,66,85,6.4,7,71.48
1543,99,6.0,54,100,4.9,9,83.98
1544,84,4.3,45,70,7.7,4,63.13
1545,82,1.4,86,94,8.2,8,75.88
1546,82,1.5,53,55,6.7,3,53.02
1547,100,7.0,50,89,8.9,7,77.01
1548,92,7.9,78,71,6.3,3,76.11
1549,86,5.7,48,61,6.6,7,62.04
1550,61,4.1,65,68,8.9,10,59.05
1551,52,5.5,55,61,5.2,10,69.21
1552,50,5.2,44,82,8.7,6,61.28
1553,82,3.7,91,42,4.2,2,67.1
1554,89,1.5,49,93,6.2,3,66.67
1555,59,6.8,89,49,4.4,6,69.56
1556,92,3.6,42,81,7.6,4,55.75
1557,93,6.7,52,60,7.0,6,69.26
1558,78,2.8,82,55,7.5,1,55.91
1559,62,1.0,88,51,5.9,10,50.48
1560,61,2.1,69,41,5.8,1,44.61
1561,80,4.3,93,80,4.2,3,70.98
1562,95,7.6,84,63,5.7,8,79.55
1563,51,1.7,45,74,8.6,8,49.42
1564,100,7.0,56,95,5.9,4,71.39
1565,99,4.7,84,69,8.2,6,77.89
1566,84,6.8,90,96,8.2,8,97.4
1567,72,3.1,92,69,5.9,7,75.62
1568,66,6.9,58,86,7.2,7,76.42
1569,75,6.4,81,74,4.5,4,75.93
1570,57,2.6,74,58,4.5,9,58.84
1571,78,1.9,85,89,4.2,10,62.71
1572,75,7.1,65,47,6.9,6,66.39
1573,59,7.7,90,65,6.1,3,68.09
1574,75,1.2,44,88,6.7,5,56.1
1575,83,6.1,68,79,6.6,5,79.48
1576,100,7.4,76,46,5.8,5,84.79
1577,90,7.0,59,69,7.4,8,76.48
1578,56,7.8,88,46,7.8,9,66.9
1579,53,6.3,60,42,4.1,9,61.34
1580,99,4.1,49,40,5.0,6,59.53
1581,94,3.2,44,75,7.6,6,66.42
1582,60,3.2,75,64,5.9,9,63.73
1583,78,6.1,45,76,7.3,4,65.69
1584,85,6.2,65,40,5.7,6,62.76
1585,74,2.4,43,54,6.0,4,48.12
1586,70,7.1,78,76,4.8,1,72.68
1587,85,6.0,78,52,5.3,7,61.8
1588,59,4.9,89,79,7.0,10,74.4
1589,86,4.3,74,47,6.2,6,68.73
1590,58,4.8,40,44,7.9,9,63.99
1591,73,2.1,63,99,8.3,7,65.02
1592,84,2.4,75,48,6.7,7,67.8
1593,98,1.6,45,40,7.8,2,57.63
1594,84,2.1,80,75,5.5,9,67.18
1595,97,4.2,93,74,6.1,10,78.55
1596,85,4.7,85,41,7.6,9,70.51
1597,67,1.1,83,79,5.9,6,61.57
1598,98,6.6,70,62,6.9,3,78.29
1599,88,3.1,59,48,4.9,1,49.55
1600,81,7.4,63,73,7.0,4,80.63
1601,73,7.8,64,85,8.3,3,70.71
1602,72,2.3,75,53,8.3,1,48.79
1603,81,4.2,60,43,7.6,3,60.14
1604,86,1.0,69,69,7.7,4,65.18
